title,price,area,rooms,floor,rent,finish_state,market,ownership,advertiser_type,year_built,elevator,building_type,building_material,address,features,url,scraped_at
,11700.0,59.0,3,2,,,,,,,,,,,[],https://www.otodom.pl/pl/oferta/park-lesny-rembertow-ID4uhaC,2025-07-26T21:18:19.067170
3-pokojowe mieszkanie 55m2 + balkon Bez Prowizji,669498.0,55.56,3,4,,do wykończenia,pierwotny,pełna własność,deweloper,2025.0,True,,,"Warszawa, winda. Otodom 66321363","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-55m2-balkon-bez-prowizji-ID4uhdp,2025-07-26T21:18:20.814614
2-pokojowe mieszkanie 38m2 + balkon,511172.0,38.29,2,4,,do wykończenia,pierwotny,pełna własność,deweloper,2025.0,True,,,"Warszawa, winda. Otodom 66887716","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-38m2-balkon-ID4vEy8,2025-07-26T21:18:22.677217
1-pokojowe mieszkanie 25m2 + balkon Bez Prowizji,414086.0,25.64,1,2,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"Warszawa, winda. Otodom 66321366","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-25m2-balkon-bez-prowizji-ID4uhds,2025-07-26T21:18:24.240671
Oddzielna widna kuchnia Okna na 3 strony Garderoba,1045000.0,58.8,2,5,,do zamieszkania,wtórny,pełna własność,biuro nieruchomości,2008.0,True,blok,,"Warszawa, winda. Otodom 67009823","['parkingowe', 'piekarnik', 'garaż/miejsce', 'meble', 'zmywarka', 'balkon', 'kuchenka', 'lodówka']",https://www.otodom.pl/pl/oferta/oddzielna-widna-kuchnia-okna-na-3-strony-garderoba-ID4xajB,2025-07-26T21:18:25.599685
,,77.0,4,,,,,,,,,,,,[],https://www.otodom.pl/pl/oferta/piastova-osada-ID4x4N2,2025-07-26T21:18:27.577450
4-pokojowe mieszkanie 62m2 + balkon,,62.19,4,3,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"ul. Henryka I Brodatego, ul. Henryka I Brodatego","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-62m2-balkon-ID4x4NG,2025-07-26T21:18:29.057299
3-pokojowe mieszkanie 46m2 + balkon Bezpośrednio,,46.08,3,2,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"ul. Henryka I Brodatego, ul. Henryka I Brodatego","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/3-pokojowe-mieszkanie-46m2-balkon-bezposrednio-ID4x4Nq,2025-07-26T21:18:30.975965
2-pokojowe mieszkanie 31m2 + ogródek,,31.27,2,parter,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"ul. Henryka I Brodatego, ul. Henryka I Brodatego","['parkingowe', 'garaż/miejsce', 'ogródek']",https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-31m2-ogrodek-ID4x4NA,2025-07-26T21:18:32.451054
1-pokojowe mieszkanie 27m2 + balkon Bez Prowizji,,27.7,1,2,,do wykończenia,pierwotny,pełna własność,deweloper,2026.0,True,,,"ul. Henryka I Brodatego, ul. Henryka I Brodatego","['balkon', 'parkingowe', 'garaż/miejsce']",https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-27m2-balkon-bez-prowizji-ID4x4N5,2025-07-26T21:18:33.967501
